veseliti se,to be happy
Ponuditi,to offer
Kiselo,sour
Vrhnje-krema,cream
Zaljev,bay
Svježe,fresh
Pokazati,to show
Obuti se,to put on shoes
Sjemenka,seed
Začin,spice
Roštilj,roast/barbecue
Biljka,plant
Livada,meadow
Svijet,world
Ostati,to stay
Planina,mountain
Uzeti,to take
Prazno,empty
Bojati se,to be afraid
Veseliti se,to look forward to
oluja,storm
Odmah,immediately
Zdravo,hello/healthily
Čak,even
Činiti se,it seems
Pravi/stvaran,real/true
Duša,soul/spirit
Poput,like/as
Zapravo,actually
Ovamo,here
Gore,up
Ubiti,to kill
Učiniti,to do
Protiv,against
Unutra,inside
Dolje,down
Van,out/outside
Mrtav,dead
Natrag,back/backwards
Jednostavan,simple
Ipak,still/however
Uopće,at all
Tijekom,during
Otvorno,openly
desnica/lijevi,right/left
Sadržaj,contents
Poseban,special
Slati,to send
Posljednji,last
Itekako,very much
Očuvati,to preserve
Ako ti tako kažeš,If you say so
Objasnitit,to explain
Uvrijediti,to offend
Posuditi,to borrow
Usamljen,lonely
Radije,rather
Strašan,scary
Vođa,leader
Plin,gas
Stalno,all the time
Zaraditi,to earn
Nafta,oil
Zlato,gold
Trgovati,to trade/deal
ulagati/uložiti,to invest
Dionica,stock
Cijena,price
Otkazati,to cancel
Navika,habit
Na koliko si potpisao ugovor,How much did you sign the contract for?
Naviknuti,to get used to
unajmiti/iznajmiti,to rent/lease
Najam,rent-lease
Ugovor,contract
Uzalud,in vain
Tašt,vain
Blago,treasure/wealth
Otpor,resistance
Bratić u drugom koljenu,second cousin
oružje,weapons
rat,war
razvoj/razvijati se,to develop
Štakor,rat
Omjer,ratio
Tuđi,someone else's
Podrazumijevati,to imply/suggest
Ovako,like this
Iscijediti,to squeeze out
Neophodan,necessary
Prije nego što dođeš. jedi,Eat before you come
Provesti,to spend time
Pogoditi,to guess/hit
Sinoć,last night
cilj,goal/purpose/end/target
Jasno,clear
Valjda,I guess/I take it
Kraj,the end
Ozbiljno,seriously
Pola,half
Umrijeti,to die
Uštedjeti/štedjeti,to save/spare
Slučaj,case/instance
opet/ponovno,again
Pretpostaviti,to guess/assume
nazad,back (to go back)
Krv,blood
Mrziti,to hate
Naprijed,forward
Smiješno,funny
Svakako,surely
Zbilja/stvarno,really
Shvaćati,to understand
shvatiti,to grasp
Hrvati se,to wrestle/struggle
Ući/ulaziti,to enter
Glavni,main/major/capital
Ubojica,killer
Savršen,perfect
Kriv,guilty
Žuriti/požuriti,to hurry
maknuti/Micati/maknem/mičem,to move
Znak,sign
Udarati/Udariti,to hit/strike/fall upon/etc
Lijevati,to pour
Proliti,to spill
Tekućina,liquid
Mokar,wet
Cimer,roommate
Čim,as soon as
laughter/laugh,smijeh
Smiješak,smile
Pristojno,politely
Iskustvo,experience
Strašno,horribly
Gospodin,Mr.
Puštati/pustiti,to let/let go/allow
Pohano,breaded
Na način,in the way
Dešaviti se/desiti se,to occur/happen
Sređivati/srediti,to arrange/settle/put in order/defeat
Izvinite me,excuse me
Osobno,personally
Spuštati/spustiti,to lower/abase/take down. To burn someone (slang intransitive)
Završavati/završiti,to finish
Biće,creature/being
Izvlačiti/izvući,to draw out/save/get out
Zabavno,fun
Zauvijek,forever
Dug-dugovati-dužan,debt-to owe-in debt
Isprika,apology
Pažljiv,careful
Uplašiti se,to be scared
Strašiti,to scare someone
Strah,a scare
Nije grof cicija,a count isn't a miser
Škrt,stingy
Konobar,waiter
Prevesti,to translate
Noćna mora,nightmare
Vojnik,soldier
Suha,dry
Trava,grass
Sijeno,hay
Kositi,to mow
Pertle/vezice,laces
Skakati/skočiti,to jump
Umiroviti,to retire
Mirovina,retirement
Besplatan,free
Snaga,strength/power
Grijanje,heating
Lijeni,lazy
Vući,to drag
Tuga,sorrow
Šetnja,a walk
Tuširiti,to take a shower
Mada noćas udara,although it's hitting tonight
Poznanik,acquaintance
